# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 8K of event 'cycles'
# Event count (approx.): 6921317673
#
# Overhead        Period  Command          Shared Object         Symbol                                                                                                                                                                                     
# ........  ............  ...............  ....................  ...........................................................................................................................................................................................
#
     0.03%       2421349  C1 CompilerThre  libjvm.so             [.] CodeSection::relocate
     0.03%       2412056  GC Thread#1      libjvm.so             [.] OopOopIterateDispatch<PCAdjustPointerClosure>::Table::oop_oop_iterate<InstanceKlass, narrowOop>
     0.03%       2401713  C2 CompilerThre  libjvm.so             [.] PhiNode::Identity
     0.03%       2400189  C1 CompilerThre  [kernel.kallsyms]     [k] asm_exc_page_fault
     0.03%       2397624  C1 CompilerThre  libjvm.so             [.] SignatureStream::find_symbol
     0.03%       2397494  C2 CompilerThre  libjvm.so             [.] Node::destruct
     0.03%       2376203  C1 CompilerThre  libjvm.so             [.] Klass::subklass
     0.03%       2375151  C2 CompilerThre  libjvm.so             [.] SubNode::Value
     0.03%       2374554  C1 CompilerThre  libjvm.so             [.] LIR_Address::as_address
     0.03%       2373375  C1 CompilerThre  libjvm.so             [.] LinearScan::add_def
     0.03%       2371435  C1 CompilerThre  libjvm.so             [.] LinearScan::sort_intervals_before_allocation
     0.03%       2367818  C1 CompilerThre  libjvm.so             [.] MethodData::next_data
     0.03%       2359023  C1 CompilerThre  libjvm.so             [.] LIR_Assembler::type_profile_helper
     0.03%       2352934  C2 CompilerThre  libjvm.so             [.] Node::Node
     0.03%       2335877  C1 CompilerThre  libjvm.so             [.] LocationValue::write_on
     0.03%       2302538  C1 CompilerThre  libjvm.so             [.] LinearScan::init_compute_oop_maps
     0.03%       2291981  C1 CompilerThre  libjvm.so             [.] DebugInformationRecorder::DebugInformationRecorder
     0.03%       2285791  C1 CompilerThre  libjvm.so             [.] LinearScan::add_register_hints
     0.03%       2282534  C1 CompilerThre  libjvm.so             [.] FrameMap::java_calling_convention
     0.03%       2278678  C1 CompilerThre  libjvm.so             [.] BlockBegin::BlockBegin
     0.03%       2267646  C1 CompilerThre  libjvm.so             [.] LIR_Assembler::emit_slow_case_stubs
     0.03%       2265733  C1 CompilerThre  libjvm.so             [.] Instruction::as_BlockEnd
     0.03%       2258185  C1 CompilerThre  libjvm.so             [.] LIR_Const::as_constant
     0.03%       2242528  C1 CompilerThre  libjvm.so             [.] SignatureStream::SignatureStream
     0.03%       2237793  C1 CompilerThre  libjvm.so             [.] non-virtual thunk to LIRGenerator::block_do(BlockBegin*)
     0.03%       2236420  C1 CompilerThre  libjvm.so             [.] MethodLiveness::init_basic_blocks
     0.03%       2209215  C1 CompilerThre  libjvm.so             [.] RelocIterator::reloc
     0.03%       2157290  GC Thread#0      libjvm.so             [.] nmethod::oops_do
     0.03%       2134311  C1 CompilerThre  libjvm.so             [.] LIR_OprPtr::as_address
     0.03%       2131724  som              [kernel.kallsyms]     [k] clear_page_rep
     0.03%       2094067  C1 CompilerThre  libjvm.so             [.] ciBytecodeStream::get_method
     0.03%       2016781  C1 CompilerThre  libjvm.so             [.] BlockBegin::substitute_sux
     0.03%       1914257  som              python2.7             [.] PyDict_GetItem
     0.03%       1882581  som              python2.7             [.] PyString_FromFormatV
     0.03%       1862918  VM Thread        libjvm.so             [.] RelocIterator::initialize
     0.03%       1859116  som              python2.7             [.] collect
     0.03%       1856094  C1 CompilerThre  libjvm.so             [.] LIRGenerator::do_Base
     0.03%       1849561  C2 CompilerThre  libjvm.so             [.] PhaseCFG::fixup_flow
     0.03%       1845053  C2 CompilerThre  [kernel.kallsyms]     [k] __hrtimer_init
     0.03%       1840529  GC Thread#6      libjvm.so             [.] nmethod::fix_oop_relocations
     0.03%       1836297  java             libjvm.so             [.] os::random
     0.03%       1833507  C2 CompilerThre  libjvm.so             [.] IfNode::Opcode
     0.03%       1832808  java             [JIT] tid 160376      [.] 0x00007f02396db716
     0.03%       1831198  C2 CompilerThre  libjvm.so             [.] TypeLong::hash
     0.03%       1830648  C2 CompilerThre  libjvm.so             [.] Parse::do_get_xxx
     0.03%       1829808  C2 CompilerThre  libjvm.so             [.] Parse::ensure_phi
     0.03%       1829042  java             libjvm.so             [.] ClassFileParser::fill_instance_klass
     0.03%       1825957  som              [kernel.kallsyms]     [k] inode_permission
     0.03%       1821884  C1 CompilerThre  libjvm.so             [.] BitMap::set_union_with_result
     0.03%       1821438  java             libjvm.so             [.] ConstantPool::impl_signature_ref_at
     0.03%       1820405  C1 CompilerThre  libjvm.so             [.] CompilerOracle::has_option_value<bool>
     0.03%       1817822  GC Thread#6      libjvm.so             [.] PSParallelCompact::fill_blocks
     0.03%       1816059  som              python2.7             [.] PyParser_AddToken
     0.03%       1813593  java             [JIT] tid 160376      [.] 0x00007f02396d8429
     0.03%       1810992  java             libjvm.so             [.] FieldLayoutBuilder::epilogue
     0.03%       1810234  java             [JIT] tid 160376      [.] 0x00007f02396e6c32
     0.03%       1800928  C2 CompilerThre  libjvm.so             [.] NTarjan::LINK
     0.03%       1800840  C2 CompilerThre  libjvm.so             [.] TypeTuple::fields
     0.03%       1800576  C2 CompilerThre  libc.so.6             [.] msort_with_tmp.part.0
     0.03%       1799773  C2 CompilerThre  libjvm.so             [.] IdealLoopTree::counted_loop
     0.03%       1799465  java             libjvm.so             [.] ClassFileParser::parse_field_attributes
     0.03%       1797255  java             [JIT] tid 160376      [.] 0x00007f02396eb733
     0.03%       1797216  VM Thread        [kernel.kallsyms]     [k] x2apic_send_IPI
     0.03%       1792844  C2 CompilerThre  [kernel.kallsyms]     [k] __mod_node_page_state
     0.03%       1791712  C2 CompilerThre  libjvm.so             [.] PhaseChaitin::compact
     0.03%       1791463  C2 CompilerThre  libjvm.so             [.] PhaseIdealLoop::has_local_phi_input
     0.03%       1791168  C2 CompilerThre  libjvm.so             [.] TypeInstPtr::xdual
     0.03%       1791071  C1 CompilerThre  libjvm.so             [.] LIRGenerator::do_ProfileCall
     0.03%       1790715  C2 CompilerThre  libjvm.so             [.] PhaseChaitin::Register_Allocate
     0.03%       1790364  C2 CompilerThre  libjvm.so             [.] jmpLoopEndUCF_and_restoreMaskNode::out_RegMask
     0.03%       1788602  C2 CompilerThre  libjvm.so             [.] Compile::can_alias
     0.03%       1787935  java             libjvm.so             [.] CompilationPolicy::compile_if_required
     0.03%       1787910  GC Thread#3      libjvm.so             [.] ParMarkBitMap::live_words_in_range
     0.03%       1787774  C2 CompilerThre  libjvm.so             [.] PhaseChaitin::cache_lrg_info
     0.03%       1787604  C2 CompilerThre  libjvm.so             [.] Compile::start
     0.03%       1787506  java             [JIT] tid 160376      [.] 0x00007f0239c6a0a5
     0.03%       1787176  C2 CompilerThre  libjvm.so             [.] TypeNode::ideal_reg
     0.03%       1787049  java             [JIT] tid 160376      [.] 0x00007f0239ee1e4e
     0.03%       1786929  C2 CompilerThre  libjvm.so             [.] MachTypeNode::bottom_type
     0.03%       1786722  C2 CompilerThre  libjvm.so             [.] JVMState::debug_start
     0.03%       1786649  C1 CompilerThre  libjvm.so             [.] Assembler::andl
     0.03%       1786609  C2 CompilerThre  libjvm.so             [.] Node::Ideal
     0.03%       1785984  GC Thread#4      libjvm.so             [.] OopOopIterateDispatch<PCAdjustPointerClosure>::Table::oop_oop_iterate<InstanceKlass, narrowOop>
     0.03%       1785847  C2 CompilerThre  libjvm.so             [.] ParmNode::Opcode
     0.03%       1785528  GC Thread#7      libjvm.so             [.] ParMarkBitMap::live_words_in_range
     0.03%       1785070  java             [JIT] tid 160376      [.] 0x00007f02396e8347
     0.03%       1784881  java             libjvm.so             [.] java_lang_String::as_unicode_string_or_null
     0.03%       1784480  java             libjvm.so             [.] LinkResolver::linktime_resolve_virtual_method
     0.03%       1784141  C2 CompilerThre  libjvm.so             [.] MachSpillCopyNode::ideal_reg
     0.03%       1783939  GC Thread#5      [kernel.kallsyms]     [k] clear_page_rep
     0.03%       1783753  C2 CompilerThre  libjvm.so             [.] ciEnv::get_field_by_index
     0.03%       1783356  C2 CompilerThre  libjvm.so             [.] Matcher::pd_clone_node
     0.03%       1783117  GC Thread#4      libjvm.so             [.] ParMarkBitMap::live_words_in_range
     0.03%       1783011  C2 CompilerThre  libjvm.so             [.] RegionNode::try_clean_mem_phi
     0.03%       1782195  java             [JIT] tid 160376      [.] 0x00007f02411dad27
     0.03%       1781972  C2 CompilerThre  libjvm.so             [.] Matcher::ReduceInst
     0.03%       1781797  C2 CompilerThre  libjvm.so             [.] NodeHash::grow
     0.03%       1781623  C2 CompilerThre  libjvm.so             [.] IdealLoopTree::est_loop_flow_merge_sz
     0.03%       1781564  java             libjvm.so             [.] LinkResolver::check_method_accessability
     0.03%       1781466  C2 CompilerThre  libjvm.so             [.] CastIINode::Value
     0.03%       1781322  C2 CompilerThre  libjvm.so             [.] rFlagsRegUOper::type
     0.03%       1781314  C1 CompilerThre  libjvm.so             [.] Assembler::movq
     0.03%       1781163  C2 CompilerThre  libjvm.so             [.] CatchProjNode::Opcode
     0.03%       1781102  C2 CompilerThre  libjvm.so             [.] hashptr
     0.03%       1780940  GC Thread#2      libjvm.so             [.] steal_work
     0.03%       1780828  java             [kernel.kallsyms]     [k] syscall_return_via_sysret
     0.03%       1780755  java             libjvm.so             [.] nmethod::is_unloading
     0.03%       1780740  C2 CompilerThre  libjvm.so             [.] MacroAssembler::verified_entry
     0.03%       1780682  C2 CompilerThre  libjvm.so             [.] Node::uncast
     0.03%       1780392  java             libjvm.so             [.] ConstantPool::resolve_string_constants_impl
     0.03%       1779787  java             [JIT] tid 160376      [.] 0x00007f02396d8245
     0.03%       1779567  java             libjvm.so             [.] klassVtable::compute_vtable_size_and_num_mirandas
     0.03%       1779283  java             libjvm.so             [.] InstanceKlass::allocate_objArray
     0.03%       1779164  java             libc.so.6             [.] __memmove_avx_unaligned
     0.03%       1778812  java             [JIT] tid 160376      [.] 0x00007f02396e0593
     0.03%       1778811  java             libjvm.so             [.] ClassFileParser::verify_legal_method_signature
     0.03%       1778734  C2 CompilerThre  libjvm.so             [.] MachNode::memory_inputs
     0.03%       1778705  C2 CompilerThre  libjvm.so             [.] DebugInformationRecorder::describe_scope
     0.03%       1778476  C2 CompilerThre  libjvm.so             [.] PhaseChaitin::mark_ssa
     0.03%       1778447  C2 CompilerThre  libjvm.so             [.] TypeInstPtr::eq
     0.03%       1777305  java             [JIT] tid 160376      [.] 0x00007f02396d823c
     0.03%       1777212  java             [JIT] tid 160376      [.] 0x00007f0239ccfaa8
     0.03%       1777140  C2 CompilerThre  libjvm.so             [.] BCEscapeAnalyzer::invoke
     0.03%       1777121  C2 CompilerThre  libjvm.so             [.] PhaseIterGVN::remove_speculative_types
     0.03%       1777028  C2 CompilerThre  libjvm.so             [.] ProjNode::hash
     0.03%       1776917  java             [JIT] tid 160376      [.] 0x00007f02396d8792
     0.03%       1776864  java             [JIT] tid 160376      [.] 0x00007f02411a8931
     0.03%       1776728  java             [JIT] tid 160376      [.] 0x00007f02396d8796
     0.03%       1776618  C2 CompilerThre  libjvm.so             [.] IdealLoopTree::is_member
     0.03%       1776226  java             [JIT] tid 160376      [.] 0x00007f0239fa12f4
     0.03%       1776168  C2 CompilerThre  libjvm.so             [.] Compile::TracePhase::~TracePhase
     0.03%       1776017  java             libjvm.so             [.] Reflection::verify_member_access
     0.03%       1776014  C2 CompilerThre  libjvm.so             [.] AddPNode::Identity
     0.03%       1775969  C2 CompilerThre  libjvm.so             [.] PhaseIFG::Union
     0.03%       1775927  C2 CompilerThre  libjvm.so             [.] Compile::flatten_alias_type
     0.03%       1775129  java             [JIT] tid 160376      [.] 0x00007f02396e9bae
     0.03%       1775120  GC Thread#5      libjvm.so             [.] ParallelCompactData::add_obj
     0.03%       1774790  C2 CompilerThre  libjvm.so             [.] PhaseCFG::select
     0.03%       1774766  java             [JIT] tid 160376      [.] 0x00007f02396e67a2
     0.03%       1774677  C2 CompilerThre  libjvm.so             [.] MachNode::bottom_type
     0.03%       1774666  C1 CompilerThre  libjvm.so             [.] LinearScanWalker::free_collect_inactive_any
     0.03%       1774135  java             [JIT] tid 160376      [.] 0x00007f02396e712e
     0.03%       1773827  GC Thread#4      libjvm.so             [.] ParallelCompactData::calc_new_pointer
     0.03%       1773803  java             libc.so.6             [.] __vfprintf_internal
     0.03%       1773798  C1 CompilerThre  libjvm.so             [.] NullCheckEliminator::visit
     0.03%       1773767  C1 CompilerThre  libjvm.so             [.] LinearScanWalker::init_vars_for_alloc
     0.03%       1773656  java             [JIT] tid 160376      [.] 0x00007f02396dd655
     0.03%       1773555  C1 CompilerThre  libjvm.so             [.] Instruction::as_Constant
     0.03%       1773307  C2 CompilerThre  libjvm.so             [.] AbstractAssembler::AbstractAssembler
     0.03%       1773306  java             [JIT] tid 160376      [.] 0x00007f0239d53a01
     0.03%       1773094  C2 CompilerThre  libjvm.so             [.] ciEnv::is_in_vm
     0.03%       1772985  java             [JIT] tid 160376      [.] 0x00007f02396db5eb
     0.03%       1772780  java             [JIT] tid 160376      [.] 0x00007f02411f5730
     0.03%       1772701  java             [JIT] tid 160376      [.] 0x00007f02396df860
     0.03%       1772680  java             libjvm.so             [.] AllocateHeap
     0.03%       1772468  java             [JIT] tid 160376      [.] 0x00007f02396df192
     0.03%       1772177  C2 CompilerThre  libjvm.so             [.] Compile::copy_node_notes_to
     0.03%       1772166  C2 CompilerThre  libjvm.so             [.] ciTypeFlow::StateVector::meet
     0.03%       1772110  java             [kernel.kallsyms]     [k] filemap_get_read_batch
     0.03%       1771833  java             [JIT] tid 160376      [.] 0x00007f02396eaef8
     0.03%       1771759  java             [JIT] tid 160376      [.] 0x00007f02396e7e96
     0.03%       1771421  java             libjvm.so             [.] InstanceKlass::protection_domain
     0.03%       1771398  C2 CompilerThre  libjvm.so             [.] IdealLoopTree::iteration_split
     0.03%       1771393  java             [JIT] tid 160376      [.] 0x00007f02396eb1e1
     0.03%       1771291  java             [JIT] tid 160376      [.] 0x00007f02396db4e0
     0.03%       1771067  java             libjvm.so             [.] ClassLoadingService::notify_class_loaded
     0.03%       1770958  GC Thread#2      libjvm.so             [.] ParCompactionManager::follow_marking_stacks
     0.03%       1770859  java             libjvm.so             [.] LinkResolver::check_method_loader_constraints
     0.03%       1770817  java             libjvm.so             [.] InstanceKlass::find_method_index
     0.03%       1770689  C2 CompilerThre  libjvm.so             [.] Block::succ_prob
     0.03%       1770616  C1 CompilerThre  libjvm.so             [.] ciObjectFactory::create_new_object
     0.03%       1770591  java             [kernel.kallsyms]     [k] do_anonymous_page
     0.03%       1770494  java             [JIT] tid 160376      [.] 0x00007f0239f2b419
     0.03%       1770127  java             [JIT] tid 160376      [.] 0x00007f0239720a04
     0.03%       1769853  java             libjava.so            [.] fixClassname
     0.03%       1769657  C1 CompilerThre  libjvm.so             [.] Klass::is_klass
     0.03%       1769502  java             [JIT] tid 160376      [.] 0x00007f02396e8eda
     0.03%       1769487  java             [JIT] tid 160376      [.] 0x00007f02396e9a49
     0.03%       1769454  java             libjvm.so             [.] Mutex::unlock
     0.03%       1769393  java             [JIT] tid 160376      [.] 0x00007f02396db4b4
     0.03%       1769389  java             [JIT] tid 160376      [.] 0x00007f02396db747
     0.03%       1769368  C1 CompilerThre  libjvm.so             [.] DebugInformationRecorder::create_scope_values
     0.03%       1769080  java             libjvm.so             [.] copy_lvt_element
     0.03%       1769050  java             [JIT] tid 160376      [.] 0x00007f02396ebd73
     0.03%       1768847  java             [JIT] tid 160376      [.] 0x00007f02396e5742
     0.03%       1768748  C2 CompilerThre  libjvm.so             [.] ciObjectFactory::get
     0.03%       1768614  java             [JIT] tid 160376      [.] 0x00007f02396e0053
     0.03%       1768407  java             [JIT] tid 160376      [.] 0x00007f02396db6c3
     0.03%       1768318  java             [JIT] tid 160376      [.] 0x00007f02396e1884
     0.03%       1767977  java             [kernel.kallsyms]     [k] check_stack_object
     0.03%       1767847  C2 CompilerThre  libjvm.so             [.] PhaseCFG::latency_from_uses
     0.03%       1767809  java             libjvm.so             [.] MethodCounters::MethodCounters
     0.03%       1767797  java             [JIT] tid 160376      [.] 0x00007f02396e3643
     0.03%       1767572  C2 CompilerThre  libjvm.so             [.] PhiNode::out_RegMask
     0.03%       1767143  C1 CompilerThre  libjvm.so             [.] Relocation::pd_set_call_destination
     0.03%       1767141  java             libjvm.so             [.] JavaThread::is_Java_thread
     0.03%       1766903  java             [kernel.kallsyms]     [k] __pagevec_lru_add_fn
     0.03%       1766698  java             [kernel.kallsyms]     [k] xas_load
     0.03%       1766508  java             libjvm.so             [.] SymbolTable::new_symbol
     0.03%       1766435  java             [JIT] tid 160376      [.] 0x00007f0239ebc144
     0.03%       1766426  java             libjvm.so             [.] metaspace::FreeBlocks::remove_block
     0.03%       1766404  java             [kernel.kallsyms]     [k] __inode_security_revalidate
     0.03%       1766329  C2 CompilerThre  libjvm.so             [.] Dict::operator[]
     0.03%       1766313  C2 CompilerThre  libjvm.so             [.] MachProjNode::ideal_reg
     0.03%       1766180  java             [JIT] tid 160376      [.] 0x00007f02396de953
     0.03%       1766179  C1 CompilerThre  libjvm.so             [.] LIR_Assembler::emit_call
     0.03%       1766114  C2 CompilerThre  [kernel.kallsyms]     [k] __mod_zone_page_state
     0.03%       1765899  C1 CompilerThre  libjvm.so             [.] LinearScanWalker::split_before_usage
     0.03%       1765799  C2 CompilerThre  libjvm.so             [.] MachCallJavaNode::in_RegMask
     0.03%       1765699  C1 CompilerThre  libjvm.so             [.] LIRGenerator::do_If
     0.03%       1765573  GC Thread#5      libjvm.so             [.] ParCompactionManager::follow_marking_stacks
     0.03%       1765407  java             [JIT] tid 160376      [.] 0x00007f02396e85e0
     0.03%       1765258  java             libjvm.so             [.] ConstMethod::localvariable_table_length_addr
     0.03%       1765035  java             libjvm.so             [.] InterpreterRuntime::resolve_get_put
     0.03%       1764898  C2 CompilerThre  libjvm.so             [.] State::_sub_Op_If
     0.03%       1764870  C2 CompilerThre  libjvm.so             [.] Parse::do_if
     0.03%       1764559  C2 CompilerThre  libjvm.so             [.] ConnectionGraph::add_node_to_connection_graph
     0.03%       1764466  C1 CompilerThre  libjvm.so             [.] LIR_OpLabel::emit_code
     0.03%       1764448  java             [JIT] tid 160376      [.] 0x00007f02396d8364
     0.03%       1764434  java             libjvm.so             [.] Method::is_final_method
     0.03%       1764433  java             libjvm.so             [.] JVM_IsArrayClass
     0.03%       1764430  java             libjvm.so             [.] oopFactory::new_typeArray
     0.03%       1764373  java             libjvm.so             [.] ClassVerifier::verify_cp_class_type
     0.03%       1764347  java             [JIT] tid 160376      [.] 0x00007f02396e85d7
     0.03%       1764285  java             [JIT] tid 160376      [.] 0x00007f02396eb73f
     0.03%       1764272  C2 CompilerThre  libc.so.6             [.] _int_malloc
     0.03%       1764242  C2 CompilerThre  libjvm.so             [.] Conv2BNode::Opcode
     0.03%       1764111  C2 CompilerThre  libjvm.so             [.] MachNode::alignment_required
     0.03%       1763242  java             [JIT] tid 160376      [.] 0x00007f02396e8425
     0.03%       1763237  C2 CompilerThre  libjvm.so             [.] PhaseCFG::build_dominator_tree
     0.03%       1763073  C2 CompilerThre  libjvm.so             [.] OopFlow::compute_reach
     0.03%       1762711  C2 CompilerThre  [kernel.kallsyms]     [k] asm_sysvec_apic_timer_interrupt
     0.03%       1762205  C2 CompilerThre  libjvm.so             [.] ciMethod::ciMethod
     0.03%       1761884  java             [kernel.kallsyms]     [k] walk_component
     0.03%       1761807  java             [JIT] tid 160376      [.] 0x00007f02396df193
     0.03%       1761779  C1 CompilerThre  libjvm.so             [.] ciSignature::ciSignature
     0.03%       1761564  java             libjvm.so             [.] jni_GetPrimitiveArrayCritical
     0.03%       1761518  java             [kernel.kallsyms]     [k] xas_start
     0.03%       1761490  java             [JIT] tid 160376      [.] 0x00007f02396db701
     0.03%       1761356  java             [JIT] tid 160376      [.] 0x00007f02397c35a2
     0.03%       1761127  java             libjvm.so             [.] Klass::check_array_allocation_length
     0.03%       1761065  java             libjvm.so             [.] klassVtable::add_new_mirandas_to_lists
     0.03%       1760601  java             [JIT] tid 160376      [.] 0x00007f02396dd6dd
     0.03%       1760398  java             libjvm.so             [.] ClassVerifier::verify_class
     0.03%       1760182  java             libjvm.so             [.] jni_SetByteArrayRegion
     0.03%       1760081  C2 CompilerThre  libjvm.so             [.] Parse::do_call
     0.03%       1760028  C1 CompilerThre  libjvm.so             [.] AccessInternal::PostRuntimeDispatch<CardTableBarrierSet::AccessBarrier<548964ul, CardTableBarrierSet>, (AccessInternal::BarrierType)2, 548964ul>::oop_access_barrier
     0.03%       1760023  java             [JIT] tid 160376      [.] 0x00007f02396e710b
     0.03%       1759508  java             [JIT] tid 160376      [.] 0x00007f02396e99a4
     0.03%       1759282  java             [JIT] tid 160376      [.] 0x00007f02396e0bc9
     0.03%       1759021  java             libjvm.so             [.] InterpreterRuntime::newarray
     0.03%       1758921  GC Thread#2      libjvm.so             [.] ParMarkBitMap::mark_obj
     0.03%       1758634  java             libjvm.so             [.] ConstMethod::localvariable_table_start
     0.03%       1758630  C2 CompilerThre  libjvm.so             [.] LoadINode::Opcode
     0.03%       1758478  java             libjvm.so             [.] PerfClassTraceTime::~PerfClassTraceTime
     0.03%       1758389  java             libjvm.so             [.] HandleMark::~HandleMark
     0.03%       1758129  java             libjvm.so             [.] MemAllocator::Allocation::notify_allocation_jfr_sampler
     0.03%       1758064  java             [JIT] tid 160376      [.] 0x00007f02396e3faa
     0.03%       1757753  C1 CompilerThre  libjvm.so             [.] MethodData::profile_unsafe
     0.03%       1757710  java             libjvm.so             [.] MemAllocator::allocate
     0.03%       1757686  C2 CompilerThre  libjvm.so             [.] Node::add_req_batch
     0.03%       1757555  java             libjvm.so             [.] JVM_GetCallerClass
     0.03%       1757478  C2 CompilerThre  libjvm.so             [.] SafePointNode::set_next_exception
     0.03%       1757456  C2 CompilerThre  libjvm.so             [.] IfNode::up_one_dom
     0.03%       1756606  java             [kernel.kallsyms]     [k] security_inode_permission
     0.03%       1756225  java             [JIT] tid 160376      [.] 0x00007f02396e4c81
     0.03%       1755976  C2 CompilerThre  libjvm.so             [.] StrEqualsNode::Opcode
     0.03%       1755971  GC Thread#1      libjvm.so             [.] PSParallelCompact::fill_blocks
     0.03%       1755657  java             libjvm.so             [.] AccessFlags::atomic_set_bits
     0.03%       1755070  java             [JIT] tid 160376      [.] 0x00007f02396e8337
     0.03%       1754428  java             [kernel.kallsyms]     [k] __audit_syscall_exit
     0.03%       1754318  java             [JIT] tid 160376      [.] 0x00007f02396e4bbe
     0.03%       1754203  C1 CompilerThre  libjvm.so             [.] Range::intersects_at
     0.03%       1753941  C2 CompilerThre  libjvm.so             [.] SignatureStream::find_symbol
     0.03%       1753751  java             [JIT] tid 160376      [.] 0x00007f02396e6cb8
     0.03%       1753527  C1 CompilerThre  libjvm.so             [.] ComputeLinearScanOrder::compute_order
     0.03%       1752679  java             [kernel.kallsyms]     [k] exc_page_fault
     0.03%       1752425  C2 CompilerThre  libjvm.so             [.] StoreNode::Value
     0.03%       1752380  java             libjvm.so             [.] ClassFileParser::parse_classfile_inner_classes_attribute
     0.03%       1752086  java             [kernel.kallsyms]     [k] memcg_check_events
     0.03%       1751855  java             libjvm.so             [.] java_lang_Class::create_mirror
     0.03%       1751780  C1 CompilerThre  libjvm.so             [.] LIRItem::load_item
     0.03%       1751432  java             libjvm.so             [.] ConstMethod::exception_table_start
     0.03%       1751318  C2 CompilerThre  libjvm.so             [.] LoadNNode::Opcode
     0.03%       1751185  java             libjvm.so             [.] os::javaTimeNanos
     0.03%       1750182  java             [kernel.kallsyms]     [k] vfs_read
     0.03%       1749856  C2 CompilerThre  libc.so.6             [.] __GI___pthread_mutex_unlock_usercnt
     0.03%       1749750  C2 CompilerThre  [kernel.kallsyms]     [k] __pagevec_lru_add_fn
     0.03%       1749488  C1 CompilerThre  libjvm.so             [.] GrowableArrayResourceAllocator::allocate
     0.03%       1749018  java             libjvm.so             [.] BitMap::count_one_bits
     0.03%       1748963  C2 CompilerThre  [kernel.kallsyms]     [k] rwsem_optimistic_spin
     0.03%       1748871  C2 CompilerThre  libjvm.so             [.] Parse::Parse
     0.03%       1748449  java             libjvm.so             [.] elapsedTimer::stop
     0.03%       1748400  java             [JIT] tid 160376      [.] 0x00007f02396d8359
     0.03%       1748341  java             [kernel.kallsyms]     [k] futex_wait_setup
     0.03%       1748322  C2 CompilerThre  libjvm.so             [.] PhaseCFG::global_code_motion
     0.03%       1748316  java             [kernel.kallsyms]     [k] next_uptodate_page
     0.03%       1747899  C1 CompilerThre  [kernel.kallsyms]     [k] __rcu_read_lock
     0.03%       1747690  C2 CompilerThre  [kernel.kallsyms]     [k] __mod_memcg_lruvec_state
     0.03%       1747347  C2 CompilerThre  libjvm.so             [.] IfNode::search_identical
     0.03%       1747302  C1 CompilerThre  libjvm.so             [.] CompileBroker::invoke_compiler_on_method
     0.03%       1746528  C2 CompilerThre  libjvm.so             [.] CompileBroker::maybe_block
     0.03%       1746207  C2 CompilerThre  libjvm.so             [.] LoadBNode::Opcode
     0.03%       1746193  java             [JIT] tid 160376      [.] 0x00007f02396eb1f1
     0.03%       1746096  java             libjvm.so             [.] SharedRuntime::resolve_sub_helper
     0.03%       1745565  C2 CompilerThre  libjvm.so             [.] TypeTuple::hash
     0.03%       1745561  C1 CompilerThre  libjvm.so             [.] ComputeLinearScanOrder::count_edges
     0.03%       1745560  java             [kernel.kallsyms]     [k] vfs_statx
     0.03%       1745224  java             [kernel.kallsyms]     [k] find_vma
     0.03%       1745004  java             libjvm.so             [.] ClassVerifier::create_method_sig_entry
     0.03%       1744421  java             [JIT] tid 160376      [.] 0x00007f02396dea53
     0.03%       1744069  java             [JIT] tid 160376      [.] 0x00007f02396df217
     0.03%       1743663  GC Thread#7      libjvm.so             [.] PSPromotionManager::drain_stacks_depth
     0.03%       1743513  C2 CompilerThre  libjvm.so             [.] Matcher::ReduceInst_Interior
     0.03%       1743343  java             libjvm.so             [.] StackMapTable::check_jump_target
     0.03%       1741479  java             [JIT] tid 160376      [.] 0x00007f02396dff54
     0.03%       1741182  C2 CompilerThre  libjvm.so             [.] Node::rematerialize
     0.03%       1741067  C1 CompilerThre  libc.so.6             [.] __strlen_avx2
     0.03%       1740962  java             [kernel.kallsyms]     [k] link_path_walk.part.0.constprop.0
     0.03%       1740802  C2 CompilerThre  libjvm.so             [.] ciMethod::is_accessor
     0.03%       1740270  C2 CompilerThre  libjvm.so             [.] Node::Identity
     0.03%       1740216  C1 CompilerThre  libjvm.so             [.] Invoke::input_values_do
     0.03%       1739386  java             [JIT] tid 160376      [.] 0x00007f02396e7043
     0.03%       1738473  C2 CompilerThre  libjvm.so             [.] LiveRangeMap::compress_uf_map_for_nodes
     0.03%       1738444  GC Thread#2      [kernel.kallsyms]     [k] clear_page_rep
     0.03%       1738397  java             libjvm.so             [.] jni_GetObjectClass
     0.03%       1738269  C2 CompilerThre  libjvm.so             [.] Node::add_out
     0.03%       1737329  C1 CompilerThre  [kernel.kallsyms]     [k] update_curr
     0.03%       1736754  java             libjvm.so             [.] StackMapFrame::get_local
     0.03%       1736718  C1 CompilerThre  libjvm.so             [.] UseCountComputer::visit
     0.03%       1736437  java             libjvm.so             [.] CodeCache::reverse_free_ratio
     0.03%       1735859  C1 CompilerThre  libjvm.so             [.] ciEnv::get_method_by_index_impl
     0.03%       1735757  C2 CompilerThre  libjvm.so             [.] ConLNode::Opcode
     0.03%       1735694  java             libjvm.so             [.] OopStorage::allocate
     0.03%       1735399  C1 CompilerThre  libjvm.so             [.] GraphBuilder::args_list_for_profiling
     0.03%       1735041  C1 CompilerThre  libjvm.so             [.] ParametersTypeData::compute_cell_count
     0.03%       1734157  C1 CompilerThre  libjvm.so             [.] SymbolTable::new_symbol
